,id,Region,Taxonomy,Dwellings,Buildings,Repl_cost_USD/bdg,Population,Tot_repl_cost,No_of_storeys,Dwl_per_storey,Dwl_area_m2,Urb_Dwl,Urb_Bdg,Urb_Pop,Rur_Dwl,Rur_Bdg,Rur_Pop,dwl,bdg,pop
16,AREA # 00,Nacional,MUR+ADO/H:1,145206.5,145206.5,24000.0,402367.5,3484956000.0,1.0,1,80,35647.7,35647.7,104220.7,109558.8,109558.8,298146.8,True,True,True
17,AREA # 00,Nacional,"MUR+ADO/H:1,2",207071.3,165657.1,30000.0,590777.8999999999,4969713000.0,1.25,1,80,134788.8,107831.1,394072.6,72282.5,57826.0,196705.3,True,True,True
18,AREA # 00,Nacional,"MUR+STDRE/H:1,2",159691.8,127753.5,30000.0,451708.7,3832605000.0,1.25,1,80,84695.3,67756.3,247617.7,74996.5,59997.2,204091.0,True,True,True
19,AREA # 00,Nacional,"MUR+STRUB/H:1,2",164650.6,131720.5,30000.0,465705.3,3951615000.0,1.25,1,80,87176.5,69741.2,254871.9,77474.1,61979.3,210833.4,True,True,True
20,AREA # 00,Nacional,MUR/H:1,1354853.0,1354853.0,24000.0,3897675.4,32516472000.0,1.0,1,80,1041372.5,1041372.5,3044588.2,313480.5,313480.5,853087.2,True,True,True
21,AREA # 00,Nacional,"MUR/H:1,3",2975157.9,1983438.6,36000.0,8639033.6,71403789600.0,1.5,1,80,2682369.0,1788246.0,7842255.2,292788.9,195192.6,796778.4,True,True,True
22,AREA # 00,Nacional,UNK,220129.9,220129.9,24000.0,630710.7,5283117600.0,1.0,1,80,156519.6,156519.6,457605.4,63610.3,63610.3,173105.3,True,True,True
23,AREA # 00,Nacional,"W+WHE/H:1,3",62627.7,41751.8,94500.0,181239.2,3945545100.0000005,1.5,1,90,53427.9,35618.6,156203.4,9199.8,6133.2,25035.8,True,True,True
24,AREA # 00,Nacional,W+WLI/H:1,208284.5,208284.5,63000.0,604742.8,13121923500.0,1.0,1,90,187501.6,187501.6,548185.4,20782.9,20782.9,56557.4,True,True,True
25,AREA # 00,Nacional,"W+WLI/H:1,3",29137.3,19424.9,94500.0,84731.3,1835653050.0000002,1.5,1,90,26886.3,17924.2,78605.6,2251.0,1500.7,6125.7,True,True,True
26,AREA # 00,Nacional,W+WS/H:1,209065.6,209065.6,24000.0,600602.6,5017574400.0,1.0,1,80,156527.7,156527.7,457629.1,52537.9,52537.9,142973.5,True,True,True
27,AREA # 00,Nacional,W+WWD/H:1,87293.8,87293.8,24000.0,247212.1,2095051200.0,1.0,1,80,47732.8,47732.8,139553.1,39561.0,39561.0,107659.0,True,True,True
