,id,Region,Taxonomy,Dwellings,Buildings,Repl_cost_USD/bdg,Population,Tot_repl_cost,No_of_storeys,Dwl_per_storey,Dwl_area_m2,Urb_Dwl,Urb_Bdg,Urb_Pop,Rur_Dwl,Rur_Bdg,Rur_Pop,dwl,bdg,pop
0,AREA # 00,Nacional,"CR/LDUAL/DUC/H:4,7",267822.2,17854.8,1200000.0,783013.1,21425760000.0,5.0,3,80,267822.2,17854.8,783013.1,,,,True,True,True
1,AREA # 00,Nacional,"CR/LDUAL/DUC/H:8,19",179648.5,3742.7,3840000.0,525225.8,14371968000.0,12.0,4,80,179648.5,3742.7,525225.8,,,,True,True,True
2,AREA # 00,Nacional,"CR/LFINF/DNO/H:1,3",1625702.7,406425.7,252000.0,4752953.6,102419276400.0,2.0,2,90,1625702.7,406425.7,4752953.6,,,,True,True,True
3,AREA # 00,Nacional,"CR/LFINF/DUC/H:1,3",426911.0,106727.7,320000.0,1248129.9,34152864000.0,2.0,2,80,426911.0,106727.7,1248129.9,,,,True,True,True
4,AREA # 00,Nacional,"CR/LFINF/DUC/H:4,7",111867.7,7457.8,1200000.0,327059.8,8949360000.0,5.0,3,80,111867.7,7457.8,327059.8,,,,True,True,True
5,AREA # 00,Nacional,"CR/LFM/DNO/H:1,3",649935.2,162483.8,252000.0,1900170.2,40945917600.0,2.0,2,90,649935.2,162483.8,1900170.2,,,,True,True,True
6,AREA # 00,Nacional,"CR/LFM/DUC/H:1,3",223182.3,55795.6,320000.0,652502.5,17854592000.0,2.0,2,80,223182.3,55795.6,652502.5,,,,True,True,True
7,AREA # 00,Nacional,"CR/LFM/DUC/H:4,7",45737.3,3049.2,1200000.0,133719.0,3659040000.0,5.0,3,80,45737.3,3049.2,133719.0,,,,True,True,True
8,AREA # 00,Nacional,"CR/LWAL/DNO/H:1,3",77700.7,19425.2,252000.0,227168.1,4895150400.0,2.0,2,90,77700.7,19425.2,227168.1,,,,True,True,True
9,AREA # 00,Nacional,"CR/LWAL/DNO/H:4,7",66130.3,4408.7,945000.0,193340.5,4166221500.0,5.0,3,90,66130.3,4408.7,193340.5,,,,True,True,True
10,AREA # 00,Nacional,"CR/LWAL/DUC/H:4,7",66130.3,4408.7,1200000.0,193340.5,5290440000.0,5.0,3,80,66130.3,4408.7,193340.5,,,,True,True,True
11,AREA # 00,Nacional,MCF/DNO/H:1,1235577.6,1235577.6,24000.0,3604213.9,29653862400.000004,1.0,1,80,1195248.4,1195248.4,3494464.4,40329.2,40329.2,109749.5,True,True,True
12,AREA # 00,Nacional,"MCF/DNO/H:1,3",1871434.4,1247623.0,84000.0,5436519.2,104800332000.0,1.5,1,80,1699091.9,1132728.0,4967516.5,172342.5,114895.0,469002.7,True,True,True
13,AREA # 00,Nacional,"MCF/DUC/H:1,3",899945.6,224986.4,252000.0,2631108.2,56696572800.0,2.0,2,90,899945.6,224986.4,2631108.2,,,,True,True,True
14,AREA # 00,Nacional,"MR/DNO/H:1,3",121787.7,24357.5,315000.0,356062.2,7672612500.0,2.5,2,90,121787.7,24357.5,356062.2,,,,True,True,True
15,AREA # 00,Nacional,"MR/DUC/H:1,3",121787.7,24357.5,400000.0,356062.2,9743000000.0,2.5,2,80,121787.7,24357.5,356062.2,,,,True,True,True
