,id,Region,Taxonomy,Dwellings,Buildings,Repl_cost_USD_m2,No_of_storeys,Dwl_per_storey,Dwl_area_m2
51,AREA # 01106,Pozo Almonte,"MR/DUC/H:1,3",48.73,9.7,385000.0,2.5,2,70
52,AREA # 01106,Pozo Almonte,MUR+ADO/H:1,2.5,2.5,35000.0,1.0,1,70
53,AREA # 01106,Pozo Almonte,"MUR+ADO/H:1,2",57.60000000000001,46.1,43750.0,1.25,1,70
54,AREA # 01106,Pozo Almonte,"MUR+STDRE/H:1,2",8.08,6.5,43750.0,1.25,1,70
55,AREA # 01106,Pozo Almonte,"MUR/H:1,3",51.94,34.6,52500.0,1.5,1,70
56,AREA # 01106,Pozo Almonte,UNK,39.0,39.0,35000.0,1.0,1,70
57,AREA # 01106,Pozo Almonte,W+WLI/H:1,94.69999999999999,94.7,64000.0,1.0,1,80
58,AREA # 01106,Pozo Almonte,"W+WLI/H:1,3",376.70000000000005,251.1,96000.0,1.5,1,80
59,AREA # 01106,Pozo Almonte,W+WS/H:1,35.5,35.5,35000.0,1.0,1,70
60,AREA # 01106,Pozo Almonte,"W+WS/H:1,2",99.30000000000001,79.4,43750.0,1.25,1,70
61,AREA # 01201,Arica,"CR+PC/LWAL/H:1,3",2704.1,540.8,320000.0,2.5,2,80
62,AREA # 01201,Arica,"CR/LWAL/DNO/H:1,3",3044.8500000000004,761.2,256000.0,2.0,2,80
63,AREA # 01201,Arica,"CR/LWAL/DNO/H:4,7",1338.2499999999998,89.2,960000.0,5.0,3,80
64,AREA # 01201,Arica,"CR/LWAL/DUC/H:1,3",712.75,178.2,308000.0,2.0,2,70
65,AREA # 01201,Arica,"CR/LWAL/DUC/H:4,7",341.05,22.7,1155000.0,5.0,3,70
66,AREA # 01201,Arica,"CR/LWAL/DUC/H:8,19",273.9,5.7,3696000.0,12.0,4,70
67,AREA # 01201,Arica,ER+ETR/H:1,20.7,20.7,35000.0,1.0,1,70
68,AREA # 01201,Arica,"ER+ETR/H:1,2",60.00000000000001,48.0,43750.0,1.25,1,70
69,AREA # 01201,Arica,MCF/DNO/H:1,1722.6,1722.6,35000.0,1.0,1,70
70,AREA # 01201,Arica,"MCF/DNO/H:1,3",8121.200000000001,5414.1,84000.0,1.5,1,70
71,AREA # 01201,Arica,"MCF/DUC/H:1,3",4270.5,1067.6,256000.0,2.0,2,80
72,AREA # 01201,Arica,"MR/DNO/H:1,3",6671.200000000001,1334.2,320000.0,2.5,2,80
73,AREA # 01201,Arica,"MR/DUC/H:1,3",1363.66,272.7,385000.0,2.5,2,70
74,AREA # 01201,Arica,MUR+ADO/H:1,23.299999999999997,23.3,35000.0,1.0,1,70
75,AREA # 01201,Arica,"MUR+ADO/H:1,2",240.00000000000003,192.0,43750.0,1.25,1,70
76,AREA # 01201,Arica,"MUR+STDRE/H:1,2",326.16,260.9,43750.0,1.25,1,70
77,AREA # 01201,Arica,"MUR/H:1,3",3146.7799999999993,2097.9,52500.0,1.5,1,70
78,AREA # 01201,Arica,UNK,529.5,529.5,35000.0,1.0,1,70
