,id,Region,Taxonomy,Dwellings,Buildings,Repl_cost_USD_m2,No_of_storeys,Dwl_per_storey,Dwl_area_m2
1373,AREA # 05701,San Felipe,MCF/DNO/H:1,868.8,868.8,35000.0,1.0,1,70
1374,AREA # 05701,San Felipe,"MCF/DNO/H:1,3",2879.35,1919.6,84000.0,1.5,1,70
1375,AREA # 05701,San Felipe,"MCF/DUC/H:1,3",1344.5,336.1,256000.0,2.0,2,80
1376,AREA # 05701,San Felipe,"MR/DNO/H:1,3",2799.3,559.9,320000.0,2.5,2,80
1377,AREA # 05701,San Felipe,"MR/DUC/H:1,3",937.0699999999999,187.4,385000.0,2.5,2,70
1378,AREA # 05701,San Felipe,MUR+ADO/H:1,52.599999999999994,52.6,35000.0,1.0,1,70
1379,AREA # 05701,San Felipe,"MUR+ADO/H:1,2",1198.3999999999999,958.7,43750.0,1.25,1,70
1380,AREA # 05701,San Felipe,"MUR+STDRE/H:1,2",27.92,22.3,43750.0,1.25,1,70
1381,AREA # 05701,San Felipe,"MUR/H:1,3",1863.36,1242.2,52500.0,1.5,1,70
1382,AREA # 05701,San Felipe,UNK,251.7,251.7,35000.0,1.0,1,70
1383,AREA # 05701,San Felipe,W+WLI/H:1,267.6,267.6,64000.0,1.0,1,80
1384,AREA # 05701,San Felipe,"W+WLI/H:1,3",953.1999999999999,635.5,96000.0,1.5,1,80
1385,AREA # 05701,San Felipe,W+WS/H:1,158.9,158.9,35000.0,1.0,1,70
1386,AREA # 05701,San Felipe,"W+WS/H:1,2",241.79999999999998,193.4,43750.0,1.25,1,70
1387,AREA # 05702,Catemu,"CR+PC/LWAL/H:1,3",11.200000000000001,2.2,320000.0,2.5,2,80
1388,AREA # 05702,Catemu,"CR/LWAL/DNO/H:1,3",51.75,12.9,256000.0,2.0,2,80
1389,AREA # 05702,Catemu,"CR/LWAL/DNO/H:4,7",0.30000000000000004,0.0,960000.0,5.0,3,80
1390,AREA # 05702,Catemu,"CR/LWAL/DUC/H:1,3",58.45,14.6,308000.0,2.0,2,70
1391,AREA # 05702,Catemu,"CR/LWAL/DUC/H:4,7",0.30000000000000004,0.0,1155000.0,5.0,3,70
1392,AREA # 05702,Catemu,ER+ETR/H:1,3.0,3.0,35000.0,1.0,1,70
1393,AREA # 05702,Catemu,"ER+ETR/H:1,2",9.2,7.4,43750.0,1.25,1,70
1394,AREA # 05702,Catemu,MCF/DNO/H:1,76.44999999999999,76.4,35000.0,1.0,1,70
1395,AREA # 05702,Catemu,"MCF/DNO/H:1,3",202.30000000000004,134.9,84000.0,1.5,1,70
1396,AREA # 05702,Catemu,"MCF/DUC/H:1,3",83.55000000000001,20.9,256000.0,2.0,2,80
1397,AREA # 05702,Catemu,"MR/DNO/H:1,3",210.39999999999998,42.1,320000.0,2.5,2,80
1398,AREA # 05702,Catemu,"MR/DUC/H:1,3",56.3,11.3,385000.0,2.5,2,70
1399,AREA # 05702,Catemu,MUR+ADO/H:1,7.0,7.0,35000.0,1.0,1,70
1400,AREA # 05702,Catemu,"MUR+ADO/H:1,2",36.8,29.4,43750.0,1.25,1,70
1401,AREA # 05702,Catemu,"MUR+STDRE/H:1,2",3.6,2.9,43750.0,1.25,1,70
1402,AREA # 05702,Catemu,"MUR/H:1,3",162.4,108.3,52500.0,1.5,1,70
1403,AREA # 05702,Catemu,UNK,95.79999999999998,95.8,35000.0,1.0,1,70
1404,AREA # 05702,Catemu,W+WLI/H:1,78.10000000000001,78.1,64000.0,1.0,1,80
1405,AREA # 05702,Catemu,"W+WLI/H:1,3",476.7,317.8,96000.0,1.5,1,80
1406,AREA # 05702,Catemu,W+WS/H:1,53.1,53.1,35000.0,1.0,1,70
1407,AREA # 05702,Catemu,"W+WS/H:1,2",120.3,96.2,43750.0,1.25,1,70
1408,AREA # 05703,Llaillay,"CR+PC/LWAL/H:1,3",33.300000000000004,6.7,320000.0,2.5,2,80
1409,AREA # 05703,Llaillay,"CR/LWAL/DNO/H:1,3",126.1,31.5,256000.0,2.0,2,80
1410,AREA # 05703,Llaillay,"CR/LWAL/DNO/H:4,7",61.35,4.1,960000.0,5.0,3,80
1411,AREA # 05703,Llaillay,"CR/LWAL/DUC/H:1,3",153.5,38.4,308000.0,2.0,2,70
1412,AREA # 05703,Llaillay,"CR/LWAL/DUC/H:4,7",7.449999999999998,0.5,1155000.0,5.0,3,70
1413,AREA # 05703,Llaillay,"CR/LWAL/DUC/H:8,19",6.3,0.1,3696000.0,12.0,4,70
1414,AREA # 05703,Llaillay,ER+ETR/H:1,8.1,8.1,35000.0,1.0,1,70
1415,AREA # 05703,Llaillay,"ER+ETR/H:1,2",24.0,19.2,43750.0,1.25,1,70
1416,AREA # 05703,Llaillay,MCF/DNO/H:1,173.85,173.8,35000.0,1.0,1,70
1417,AREA # 05703,Llaillay,"MCF/DNO/H:1,3",506.49999999999994,337.7,84000.0,1.5,1,70
1418,AREA # 05703,Llaillay,"MCF/DUC/H:1,3",229.65,57.4,256000.0,2.0,2,80
1419,AREA # 05703,Llaillay,"MR/DNO/H:1,3",522.5999999999999,104.5,320000.0,2.5,2,80
1420,AREA # 05703,Llaillay,"MR/DUC/H:1,3",148.7,29.7,385000.0,2.5,2,70
1421,AREA # 05703,Llaillay,MUR+ADO/H:1,18.9,18.9,35000.0,1.0,1,70
1422,AREA # 05703,Llaillay,"MUR+ADO/H:1,2",96.0,76.8,43750.0,1.25,1,70
1423,AREA # 05703,Llaillay,"MUR+STDRE/H:1,2",6.6000000000000005,5.3,43750.0,1.25,1,70
1424,AREA # 05703,Llaillay,"MUR/H:1,3",395.1,263.4,52500.0,1.5,1,70
1425,AREA # 05703,Llaillay,UNK,58.099999999999994,58.1,35000.0,1.0,1,70
1426,AREA # 05703,Llaillay,W+WLI/H:1,252.5,252.5,64000.0,1.0,1,80
1427,AREA # 05703,Llaillay,"W+WLI/H:1,3",1066.8000000000002,711.2,96000.0,1.5,1,80
1428,AREA # 05703,Llaillay,W+WS/H:1,57.4,57.4,35000.0,1.0,1,70
1429,AREA # 05703,Llaillay,"W+WS/H:1,2",268.2,214.6,43750.0,1.25,1,70
1430,AREA # 05704,Panquehue,"CR+PC/LWAL/H:1,3",1.0,0.2,320000.0,2.5,2,80
1431,AREA # 05704,Panquehue,"CR/LWAL/DNO/H:1,3",9.649999999999999,2.4,256000.0,2.0,2,80
1432,AREA # 05704,Panquehue,"CR/LWAL/DUC/H:1,3",36.35,9.1,308000.0,2.0,2,70
1433,AREA # 05704,Panquehue,"ER+ETR/H:1,2",3.0,2.4,43750.0,1.25,1,70
1434,AREA # 05704,Panquehue,MCF/DNO/H:1,69.80000000000001,69.8,35000.0,1.0,1,70
1435,AREA # 05704,Panquehue,"MCF/DNO/H:1,3",151.15000000000003,100.8,84000.0,1.5,1,70
1436,AREA # 05704,Panquehue,"MCF/DUC/H:1,3",50.750000000000014,12.7,256000.0,2.0,2,80
1437,AREA # 05704,Panquehue,"MR/DNO/H:1,3",154.8,31.0,320000.0,2.5,2,80
1438,AREA # 05704,Panquehue,"MR/DUC/H:1,3",35.6,7.1,385000.0,2.5,2,70
1439,AREA # 05704,Panquehue,"MUR+ADO/H:1,2",12.0,9.6,43750.0,1.25,1,70
1440,AREA # 05704,Panquehue,"MUR+STDRE/H:1,2",0.6,0.5,43750.0,1.25,1,70
1441,AREA # 05704,Panquehue,"MUR/H:1,3",123.30000000000001,82.2,52500.0,1.5,1,70
1442,AREA # 05704,Panquehue,UNK,5.6,5.6,35000.0,1.0,1,70
1443,AREA # 05704,Panquehue,W+WLI/H:1,11.700000000000003,11.7,64000.0,1.0,1,80
1444,AREA # 05704,Panquehue,"W+WLI/H:1,3",50.99999999999999,34.0,96000.0,1.5,1,80
1445,AREA # 05704,Panquehue,W+WS/H:1,5.699999999999999,5.7,35000.0,1.0,1,70
1446,AREA # 05704,Panquehue,"W+WS/H:1,2",12.999999999999998,10.4,43750.0,1.25,1,70
1447,AREA # 05705,Putaendo,"CR+PC/LWAL/H:1,3",9.6,1.9,320000.0,2.5,2,80
1448,AREA # 05705,Putaendo,"CR/LWAL/DNO/H:1,3",15.6,3.9,256000.0,2.0,2,80
1449,AREA # 05705,Putaendo,"CR/LWAL/DUC/H:1,3",57.39999999999999,14.3,308000.0,2.0,2,70
1450,AREA # 05705,Putaendo,ER+ETR/H:1,6.3,6.3,35000.0,1.0,1,70
1451,AREA # 05705,Putaendo,"ER+ETR/H:1,2",118.2,94.6,43750.0,1.25,1,70
1452,AREA # 05705,Putaendo,MCF/DNO/H:1,105.4,105.4,35000.0,1.0,1,70
1453,AREA # 05705,Putaendo,"MCF/DNO/H:1,3",243.0,162.0,84000.0,1.5,1,70
1454,AREA # 05705,Putaendo,"MCF/DUC/H:1,3",86.44999999999999,21.6,256000.0,2.0,2,80
1455,AREA # 05705,Putaendo,"MR/DNO/H:1,3",248.35,49.7,320000.0,2.5,2,80
1456,AREA # 05705,Putaendo,"MR/DUC/H:1,3",58.04,11.6,385000.0,2.5,2,70
1457,AREA # 05705,Putaendo,MUR+ADO/H:1,9.499999999999998,9.5,35000.0,1.0,1,70
1458,AREA # 05705,Putaendo,"MUR+ADO/H:1,2",472.8,378.2,43750.0,1.25,1,70
1459,AREA # 05705,Putaendo,"MUR+STDRE/H:1,2",0.8400000000000001,0.7,43750.0,1.25,1,70
1460,AREA # 05705,Putaendo,"MUR/H:1,3",190.32000000000002,126.9,52500.0,1.5,1,70
1461,AREA # 05705,Putaendo,UNK,14.799999999999995,14.8,35000.0,1.0,1,70
1462,AREA # 05705,Putaendo,W+WLI/H:1,34.800000000000004,34.8,64000.0,1.0,1,80
1463,AREA # 05705,Putaendo,"W+WLI/H:1,3",176.6,117.7,96000.0,1.5,1,80
1464,AREA # 05705,Putaendo,W+WS/H:1,15.6,15.6,35000.0,1.0,1,70
1465,AREA # 05705,Putaendo,"W+WS/H:1,2",44.4,35.5,43750.0,1.25,1,70
1466,AREA # 05706,Santa María,"CR+PC/LWAL/H:1,3",8.600000000000001,1.7,320000.0,2.5,2,80
1467,AREA # 05706,Santa María,"CR/LWAL/DNO/H:1,3",8.45,2.1,256000.0,2.0,2,80
1468,AREA # 05706,Santa María,"CR/LWAL/DNO/H:4,7",32.4,2.2,960000.0,5.0,3,80
1469,AREA # 05706,Santa María,"CR/LWAL/DUC/H:1,3",46.550000000000004,11.6,308000.0,2.0,2,70
1470,AREA # 05706,Santa María,"CR/LWAL/DUC/H:4,7",12.799999999999999,0.9,1155000.0,5.0,3,70
1471,AREA # 05706,Santa María,ER+ETR/H:1,8.100000000000001,8.1,35000.0,1.0,1,70
1472,AREA # 05706,Santa María,"ER+ETR/H:1,2",95.80000000000001,76.6,43750.0,1.25,1,70
1473,AREA # 05706,Santa María,MCF/DNO/H:1,81.8,81.8,35000.0,1.0,1,70
1474,AREA # 05706,Santa María,"MCF/DNO/H:1,3",267.65000000000003,178.4,84000.0,1.5,1,70
1475,AREA # 05706,Santa María,"MCF/DUC/H:1,3",122.25000000000003,30.6,256000.0,2.0,2,80
1476,AREA # 05706,Santa María,"MR/DNO/H:1,3",246.50000000000003,49.3,320000.0,2.5,2,80
1477,AREA # 05706,Santa María,"MR/DUC/H:1,3",95.66,19.1,385000.0,2.5,2,70
1478,AREA # 05706,Santa María,MUR+ADO/H:1,13.699999999999998,13.7,35000.0,1.0,1,70
1479,AREA # 05706,Santa María,"MUR+ADO/H:1,2",383.20000000000005,306.6,43750.0,1.25,1,70
1480,AREA # 05706,Santa María,"MUR+STDRE/H:1,2",0.56,0.4,43750.0,1.25,1,70
1481,AREA # 05706,Santa María,"MUR/H:1,3",150.77999999999997,100.5,52500.0,1.5,1,70
1482,AREA # 05706,Santa María,UNK,43.9,43.9,35000.0,1.0,1,70
1483,AREA # 05706,Santa María,W+WLI/H:1,53.7,53.7,64000.0,1.0,1,80
1484,AREA # 05706,Santa María,"W+WLI/H:1,3",371.8,247.9,96000.0,1.5,1,80
1485,AREA # 05706,Santa María,W+WS/H:1,28.599999999999998,28.6,35000.0,1.0,1,70
1486,AREA # 05706,Santa María,"W+WS/H:1,2",93.2,74.6,43750.0,1.25,1,70
1487,AREA # 06101,Rancagua,"CR+PC/LWAL/H:1,3",728.5999999999999,145.7,320000.0,2.5,2,80
1488,AREA # 06101,Rancagua,"CR/LWAL/DNO/H:1,3",1843.85,461.0,256000.0,2.0,2,80
1489,AREA # 06101,Rancagua,"CR/LWAL/DNO/H:4,7",1605.0500000000002,107.0,960000.0,5.0,3,80
1490,AREA # 06101,Rancagua,"CR/LWAL/DUC/H:1,3",2237.2500000000005,559.3,308000.0,2.0,2,70
1491,AREA # 06101,Rancagua,"CR/LWAL/DUC/H:4,7",738.1500000000001,49.2,1155000.0,5.0,3,70
1492,AREA # 06101,Rancagua,"CR/LWAL/DUC/H:8,19",427.5,8.9,3696000.0,12.0,4,70
1493,AREA # 06101,Rancagua,ER+ETR/H:1,88.0,88.0,35000.0,1.0,1,70
1494,AREA # 06101,Rancagua,"ER+ETR/H:1,2",516.8000000000001,413.4,43750.0,1.25,1,70
1495,AREA # 06101,Rancagua,MCF/DNO/H:1,3075.35,3075.3,35000.0,1.0,1,70
1496,AREA # 06101,Rancagua,"MCF/DNO/H:1,3",10883.9,7255.9,84000.0,1.5,1,70
1497,AREA # 06101,Rancagua,"MCF/DUC/H:1,3",5311.349999999999,1327.8,256000.0,2.0,2,80
1498,AREA # 06101,Rancagua,"MR/DNO/H:1,3",9614.15,1922.8,320000.0,2.5,2,80
1499,AREA # 06101,Rancagua,"MR/DUC/H:1,3",3897.710000000001,779.5,385000.0,2.5,2,70
1500,AREA # 06101,Rancagua,MUR+ADO/H:1,201.2,201.2,35000.0,1.0,1,70
1501,AREA # 06101,Rancagua,"MUR+ADO/H:1,2",2067.2000000000003,1653.8,43750.0,1.25,1,70
1502,AREA # 06101,Rancagua,"MUR+STDRE/H:1,2",119.56000000000002,95.6,43750.0,1.25,1,70
1503,AREA # 06101,Rancagua,"MUR/H:1,3",6402.580000000002,4268.4,52500.0,1.5,1,70
1504,AREA # 06101,Rancagua,UNK,590.7,590.7,35000.0,1.0,1,70
1505,AREA # 06101,Rancagua,W+WLI/H:1,594.6,594.6,64000.0,1.0,1,80
1506,AREA # 06101,Rancagua,"W+WLI/H:1,3",2534.5000000000005,1689.7,96000.0,1.5,1,80
1507,AREA # 06101,Rancagua,W+WS/H:1,324.5,324.5,35000.0,1.0,1,70
1508,AREA # 06101,Rancagua,"W+WS/H:1,2",655.5000000000001,524.4,43750.0,1.25,1,70
1509,AREA # 06102,Codegua,"CR+PC/LWAL/H:1,3",2.6,0.5,320000.0,2.5,2,80
1510,AREA # 06102,Codegua,"CR/LWAL/DNO/H:1,3",17.4,4.3,256000.0,2.0,2,80
1511,AREA # 06102,Codegua,"CR/LWAL/DUC/H:1,3",33.0,8.3,308000.0,2.0,2,70
1512,AREA # 06102,Codegua,ER+ETR/H:1,4.3999999999999995,4.4,35000.0,1.0,1,70
1513,AREA # 06102,Codegua,"ER+ETR/H:1,2",43.2,34.6,43750.0,1.25,1,70
1514,AREA # 06102,Codegua,MCF/DNO/H:1,95.7,95.7,35000.0,1.0,1,70
1515,AREA # 06102,Codegua,"MCF/DNO/H:1,3",187.39999999999998,124.9,84000.0,1.5,1,70
1516,AREA # 06102,Codegua,"MCF/DUC/H:1,3",55.699999999999996,13.9,256000.0,2.0,2,80
1517,AREA # 06102,Codegua,"MR/DNO/H:1,3",181.45,36.3,320000.0,2.5,2,80
1518,AREA # 06102,Codegua,"MR/DUC/H:1,3",31.730000000000008,6.3,385000.0,2.5,2,70
1519,AREA # 06102,Codegua,MUR+ADO/H:1,8.399999999999999,8.4,35000.0,1.0,1,70
1520,AREA # 06102,Codegua,"MUR+ADO/H:1,2",172.8,138.2,43750.0,1.25,1,70
1521,AREA # 06102,Codegua,"MUR+STDRE/H:1,2",0.98,0.8,43750.0,1.25,1,70
1522,AREA # 06102,Codegua,"MUR/H:1,3",144.04000000000002,96.0,52500.0,1.5,1,70
1523,AREA # 06102,Codegua,UNK,17.0,17.0,35000.0,1.0,1,70
1524,AREA # 06102,Codegua,W+WLI/H:1,64.69999999999999,64.7,64000.0,1.0,1,80
1525,AREA # 06102,Codegua,"W+WLI/H:1,3",207.9,138.6,96000.0,1.5,1,80
1526,AREA # 06102,Codegua,W+WS/H:1,24.499999999999996,24.5,35000.0,1.0,1,70
1527,AREA # 06102,Codegua,"W+WS/H:1,2",52.1,41.7,43750.0,1.25,1,70
1528,AREA # 06103,Coinco,"CR+PC/LWAL/H:1,3",3.8000000000000003,0.8,320000.0,2.5,2,80
1529,AREA # 06103,Coinco,"CR/LWAL/DNO/H:1,3",6.0,1.5,256000.0,2.0,2,80
1530,AREA # 06103,Coinco,"CR/LWAL/DNO/H:4,7",1.8000000000000003,0.1,960000.0,5.0,3,80
1531,AREA # 06103,Coinco,"CR/LWAL/DUC/H:1,3",32.3,8.1,308000.0,2.0,2,70
1532,AREA # 06103,Coinco,"CR/LWAL/DUC/H:4,7",1.8000000000000003,0.1,1155000.0,5.0,3,70
1533,AREA # 06103,Coinco,ER+ETR/H:1,2.5999999999999996,2.6,35000.0,1.0,1,70
1534,AREA # 06103,Coinco,"ER+ETR/H:1,2",58.60000000000001,46.9,43750.0,1.25,1,70
1535,AREA # 06103,Coinco,MCF/DNO/H:1,38.25,38.3,35000.0,1.0,1,70
1536,AREA # 06103,Coinco,"MCF/DNO/H:1,3",110.3,73.5,84000.0,1.5,1,70
1537,AREA # 06103,Coinco,"MCF/DUC/H:1,3",47.35,11.8,256000.0,2.0,2,80
1538,AREA # 06103,Coinco,"MR/DNO/H:1,3",117.35000000000001,23.5,320000.0,2.5,2,80
1539,AREA # 06103,Coinco,"MR/DUC/H:1,3",38.05,7.6,385000.0,2.5,2,70
1540,AREA # 06103,Coinco,MUR+ADO/H:1,4.0,4.0,35000.0,1.0,1,70
1541,AREA # 06103,Coinco,"MUR+ADO/H:1,2",234.40000000000003,187.5,43750.0,1.25,1,70
1542,AREA # 06103,Coinco,"MUR+STDRE/H:1,2",0.2,0.2,43750.0,1.25,1,70
1543,AREA # 06103,Coinco,"MUR/H:1,3",85.79999999999998,57.2,52500.0,1.5,1,70
1544,AREA # 06103,Coinco,UNK,21.099999999999998,21.1,35000.0,1.0,1,70
1545,AREA # 06103,Coinco,W+WLI/H:1,43.6,43.6,64000.0,1.0,1,80
1546,AREA # 06103,Coinco,"W+WLI/H:1,3",156.00000000000003,104.0,96000.0,1.5,1,80
1547,AREA # 06103,Coinco,W+WS/H:1,15.7,15.7,35000.0,1.0,1,70
1548,AREA # 06103,Coinco,"W+WS/H:1,2",39.00000000000001,31.2,43750.0,1.25,1,70
1549,AREA # 06104,Coltauco,"CR+PC/LWAL/H:1,3",5.4,1.1,320000.0,2.5,2,80
1550,AREA # 06104,Coltauco,"CR/LWAL/DNO/H:1,3",9.6,2.4,256000.0,2.0,2,80
1551,AREA # 06104,Coltauco,"CR/LWAL/DUC/H:1,3",54.50000000000001,13.6,308000.0,2.0,2,70
1552,AREA # 06104,Coltauco,ER+ETR/H:1,7.9,7.9,35000.0,1.0,1,70
1553,AREA # 06104,Coltauco,"ER+ETR/H:1,2",66.4,53.1,43750.0,1.25,1,70
1554,AREA # 06104,Coltauco,MCF/DNO/H:1,93.80000000000001,93.8,35000.0,1.0,1,70
1555,AREA # 06104,Coltauco,"MCF/DNO/H:1,3",217.05000000000004,144.7,84000.0,1.5,1,70
1556,AREA # 06104,Coltauco,"MCF/DUC/H:1,3",77.10000000000002,19.3,256000.0,2.0,2,80
1557,AREA # 06104,Coltauco,"MR/DNO/H:1,3",224.8,45.0,320000.0,2.5,2,80
1558,AREA # 06104,Coltauco,"MR/DUC/H:1,3",55.21,11.0,385000.0,2.5,2,70
1559,AREA # 06104,Coltauco,MUR+ADO/H:1,14.899999999999999,14.9,35000.0,1.0,1,70
1560,AREA # 06104,Coltauco,"MUR+ADO/H:1,2",265.6,212.5,43750.0,1.25,1,70
1561,AREA # 06104,Coltauco,"MUR+STDRE/H:1,2",0.56,0.4,43750.0,1.25,1,70
1562,AREA # 06104,Coltauco,"MUR/H:1,3",174.98000000000002,116.7,52500.0,1.5,1,70
1563,AREA # 06104,Coltauco,UNK,45.0,45.0,35000.0,1.0,1,70
1564,AREA # 06104,Coltauco,W+WLI/H:1,116.1,116.1,64000.0,1.0,1,80
1565,AREA # 06104,Coltauco,"W+WLI/H:1,3",296.3,197.5,96000.0,1.5,1,80
1566,AREA # 06104,Coltauco,W+WS/H:1,40.1,40.1,35000.0,1.0,1,70
1567,AREA # 06104,Coltauco,"W+WS/H:1,2",74.7,59.8,43750.0,1.25,1,70
1568,AREA # 06105,Doñigue,"CR+PC/LWAL/H:1,3",10.2,2.0,320000.0,2.5,2,80
1569,AREA # 06105,Doñigue,"CR/LWAL/DNO/H:1,3",31.25,7.8,256000.0,2.0,2,80
1570,AREA # 06105,Doñigue,"CR/LWAL/DNO/H:4,7",0.7,0.0,960000.0,5.0,3,80
1571,AREA # 06105,Doñigue,"CR/LWAL/DUC/H:1,3",136.35,34.1,308000.0,2.0,2,70
1572,AREA # 06105,Doñigue,"CR/LWAL/DUC/H:4,7",0.7,0.0,1155000.0,5.0,3,70
1573,AREA # 06105,Doñigue,ER+ETR/H:1,11.3,11.3,35000.0,1.0,1,70
1574,AREA # 06105,Doñigue,"ER+ETR/H:1,2",152.40000000000003,121.9,43750.0,1.25,1,70
1575,AREA # 06105,Doñigue,MCF/DNO/H:1,199.45000000000002,199.5,35000.0,1.0,1,70
1576,AREA # 06105,Doñigue,"MCF/DNO/H:1,3",502.94999999999993,335.3,84000.0,1.5,1,70
1577,AREA # 06105,Doñigue,"MCF/DUC/H:1,3",191.4,47.9,256000.0,2.0,2,80
1578,AREA # 06105,Doñigue,"MR/DNO/H:1,3",522.55,104.5,320000.0,2.5,2,80
1579,AREA # 06105,Doñigue,"MR/DUC/H:1,3",145.97,29.2,385000.0,2.5,2,70
1580,AREA # 06105,Doñigue,MUR+ADO/H:1,24.499999999999996,24.5,35000.0,1.0,1,70
1581,AREA # 06105,Doñigue,"MUR+ADO/H:1,2",609.6000000000001,487.7,43750.0,1.25,1,70
1582,AREA # 06105,Doñigue,"MUR+STDRE/H:1,2",1.7200000000000002,1.4,43750.0,1.25,1,70
1583,AREA # 06105,Doñigue,"MUR/H:1,3",403.75999999999993,269.2,52500.0,1.5,1,70
1584,AREA # 06105,Doñigue,UNK,54.5,54.5,35000.0,1.0,1,70
1585,AREA # 06105,Doñigue,W+WLI/H:1,216.0,216.0,64000.0,1.0,1,80
1586,AREA # 06105,Doñigue,"W+WLI/H:1,3",627.6,418.4,96000.0,1.5,1,80
1587,AREA # 06105,Doñigue,W+WS/H:1,54.699999999999996,54.7,35000.0,1.0,1,70
1588,AREA # 06105,Doñigue,"W+WS/H:1,2",158.4,126.7,43750.0,1.25,1,70
1589,AREA # 06106,Graneros,"CR+PC/LWAL/H:1,3",70.69999999999999,14.1,320000.0,2.5,2,80
1590,AREA # 06106,Graneros,"CR/LWAL/DNO/H:1,3",139.85,35.0,256000.0,2.0,2,80
1591,AREA # 06106,Graneros,"CR/LWAL/DNO/H:4,7",17.15,1.1,960000.0,5.0,3,80
1592,AREA # 06106,Graneros,"CR/LWAL/DUC/H:1,3",185.65000000000003,46.4,308000.0,2.0,2,70
1593,AREA # 06106,Graneros,"CR/LWAL/DUC/H:4,7",10.75,0.7,1155000.0,5.0,3,70
1594,AREA # 06106,Graneros,"CR/LWAL/DUC/H:8,19",3.9,0.1,3696000.0,12.0,4,70
1595,AREA # 06106,Graneros,ER+ETR/H:1,13.399999999999999,13.4,35000.0,1.0,1,70
1596,AREA # 06106,Graneros,"ER+ETR/H:1,2",119.80000000000001,95.8,43750.0,1.25,1,70
1597,AREA # 06106,Graneros,MCF/DNO/H:1,354.70000000000005,354.7,35000.0,1.0,1,70
1598,AREA # 06106,Graneros,"MCF/DNO/H:1,3",969.8500000000001,646.6,84000.0,1.5,1,70
1599,AREA # 06106,Graneros,"MCF/DUC/H:1,3",380.75000000000006,95.2,256000.0,2.0,2,80
1600,AREA # 06106,Graneros,"MR/DNO/H:1,3",916.8500000000001,183.4,320000.0,2.5,2,80
1601,AREA # 06106,Graneros,"MR/DUC/H:1,3",247.31000000000003,49.5,385000.0,2.5,2,70
1602,AREA # 06106,Graneros,MUR+ADO/H:1,29.599999999999998,29.6,35000.0,1.0,1,70
1603,AREA # 06106,Graneros,"MUR+ADO/H:1,2",479.20000000000005,383.4,43750.0,1.25,1,70
1604,AREA # 06106,Graneros,"MUR+STDRE/H:1,2",14.26,11.4,43750.0,1.25,1,70
1605,AREA # 06106,Graneros,"MUR/H:1,3",650.28,433.5,52500.0,1.5,1,70
1606,AREA # 06106,Graneros,UNK,58.89999999999999,58.9,35000.0,1.0,1,70
1607,AREA # 06106,Graneros,W+WLI/H:1,222.5,222.5,64000.0,1.0,1,80
1608,AREA # 06106,Graneros,"W+WLI/H:1,3",503.8,335.9,96000.0,1.5,1,80
1609,AREA # 06106,Graneros,W+WS/H:1,51.60000000000001,51.6,35000.0,1.0,1,70
1610,AREA # 06106,Graneros,"W+WS/H:1,2",129.20000000000002,103.4,43750.0,1.25,1,70
1611,AREA # 06107,Las Cabras,"CR+PC/LWAL/H:1,3",15.200000000000001,3.0,320000.0,2.5,2,80
1612,AREA # 06107,Las Cabras,"CR/LWAL/DNO/H:1,3",5.3999999999999995,1.3,256000.0,2.0,2,80
1613,AREA # 06107,Las Cabras,"CR/LWAL/DNO/H:4,7",6.700000000000001,0.4,960000.0,5.0,3,80
1614,AREA # 06107,Las Cabras,"CR/LWAL/DUC/H:1,3",44.80000000000001,11.2,308000.0,2.0,2,70
1615,AREA # 06107,Las Cabras,"CR/LWAL/DUC/H:4,7",6.700000000000001,0.4,1155000.0,5.0,3,70
1616,AREA # 06107,Las Cabras,ER+ETR/H:1,6.199999999999999,6.2,35000.0,1.0,1,70
1617,AREA # 06107,Las Cabras,"ER+ETR/H:1,2",47.4,37.9,43750.0,1.25,1,70
1618,AREA # 06107,Las Cabras,MCF/DNO/H:1,123.15,123.2,35000.0,1.0,1,70
1619,AREA # 06107,Las Cabras,"MCF/DNO/H:1,3",296.95000000000005,198.0,84000.0,1.5,1,70
1620,AREA # 06107,Las Cabras,"MCF/DUC/H:1,3",109.2,27.3,256000.0,2.0,2,80
1621,AREA # 06107,Las Cabras,"MR/DNO/H:1,3",279.4,55.9,320000.0,2.5,2,80
1622,AREA # 06107,Las Cabras,"MR/DUC/H:1,3",71.58000000000001,14.3,385000.0,2.5,2,70
1623,AREA # 06107,Las Cabras,MUR+ADO/H:1,7.6,7.6,35000.0,1.0,1,70
1624,AREA # 06107,Las Cabras,"MUR+ADO/H:1,2",189.6,151.7,43750.0,1.25,1,70
1625,AREA # 06107,Las Cabras,"MUR+STDRE/H:1,2",0.18,0.1,43750.0,1.25,1,70
1626,AREA # 06107,Las Cabras,"MUR/H:1,3",190.74000000000004,127.2,52500.0,1.5,1,70
1627,AREA # 06107,Las Cabras,UNK,87.99999999999999,88.0,35000.0,1.0,1,70
1628,AREA # 06107,Las Cabras,W+WLI/H:1,44.599999999999994,44.6,64000.0,1.0,1,80
1629,AREA # 06107,Las Cabras,"W+WLI/H:1,3",387.9,258.6,96000.0,1.5,1,80
1630,AREA # 06107,Las Cabras,W+WS/H:1,50.599999999999994,50.6,35000.0,1.0,1,70
1631,AREA # 06107,Las Cabras,"W+WS/H:1,2",97.1,77.7,43750.0,1.25,1,70
1632,AREA # 06108,Machalí,"CR+PC/LWAL/H:1,3",49.2,9.8,320000.0,2.5,2,80
