 
# APPENDIX to the
# ISC-GEM Reference Global Instrumental Earthquake Catalogue (1900-2009)
#
# June 29, 2012. International Seismological Centre (ISC), Thatcham, Berks, UK
#
# The GEM Foundation and the ISC reserve their right to remain the sole 
# distributors of the ISC-GEM Catalogue and Appendix to all interested parties.
#
# The Appendix contains a list of those earthquakes, not included in the main 
# Catalogue, for which poor data availability prevented the authors from 
# performing a reliable determination of either an epicentre or a magnitude or 
# both.
#
# The Appendix is presented in exactly the same format as the main Catalogue:
#
# - earthquake origin date and time;
# - epicentre (lat,lon);
# - error ellipse parameters (smajax, sminax, strike), epicentre quality 
#   (q:A/B/C/D);
# - depth, depth uncertainty (unc), depth quality (q:A/B/C);
# - Mw, Mw uncertainty (unc), quality (q:A/B/C/D), source(s:p-proxy,
#   d-direct computation);
# - where available: scalar moment (mo), factor (fac) , mo author (mo_auth) 
#   and six moment tensor components (mpp, mpr, mrr, mrt, mtp, mtt).
#
# The epicentre or magnitude quality flag "D" indicates those poorly determined 
# parameters that led to exclusion of the earthquake from the main list and 
# inclusion into the Appendix.

          date          ,    lat   ,    lon   , smajaz, sminax, strike, q ,  depth ,   unc , q ,  mw  ,  unc , q , s ,   mo  , fac, mo_auth  ,  mpp  ,  mpr  ,  mrr  ,  mrt  ,  mtp  ,  mtt  ,    eventid
 1904-04-04 10:25:35.15 ,   42.435 ,   23.414 ,  13.8 ,  11.4 ,  99.5 , B ,   15.0 ,   3.9 , C ,      ,      , D ,   ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16957813
 1904-06-25 14:45:40.96 ,   51.565 ,  161.417 , 129.1 ,  39.2 , 121.9 , D ,   15.0 ,  25.0 , C , 7.50 , 0.40 , C , d ,  2.60 , 20 , bibliog  ,       ,       ,       ,       ,       ,       ,   16957820
 1904-08-30 11:43:38.59 ,   25.517 ,   97.021 ,  26.5 ,  14.2 ,  42.2 , B ,   15.0 ,  25.0 , C ,      ,      , D ,   ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16957826
 1905-01-22 02:43:59.14 ,    0.572 ,  122.817 ,  35.0 ,  19.8 ,  90.9 , C ,   90.0 ,  25.0 , C ,      ,      , D ,   ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16957834
 1905-09-26 01:26:00.57 ,   28.784 ,   75.157 ,  42.0 ,  15.7 ,  30.3 , D ,   20.0 ,  25.0 , C ,      ,      , D ,   ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16957873
 1906-03-02 06:15:11.17 ,   41.736 ,   80.031 ,  43.0 ,  17.9 ,  48.3 , D ,   20.0 ,  25.0 , C , 6.71 , 0.90 , C , p ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16957887
 1906-08-17 00:40:05.25 ,  -32.400 ,  -71.400 ,       ,       ,       , D ,   35.0 ,  11.1 , C , 8.20 , 0.20 , B , d ,  2.80 , 21 , bibliog  ,       ,       ,       ,       ,       ,       ,   16957911
 1906-08-25 13:47:27.02 ,    7.415 ,   40.813 ,  56.3 ,  30.5 ,  41.9 , D ,   15.0 ,  25.0 , C , 6.48 , 0.20 , C , p ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16957915
 1906-09-14 16:04:44.93 ,   -6.249 ,  147.281 ,  48.4 ,  15.2 ,  33.3 , D ,   35.0 ,  25.3 , C , 8.00 , 0.40 , C , d ,  1.27 , 21 , bibliog  ,       ,       ,       ,       ,       ,       ,   16957920
 1906-09-28 15:24:42.04 ,   -4.144 ,  -77.273 ,  73.1 ,  35.0 , 128.9 , D ,  100.0 ,   6.3 , C , 6.79 , 0.26 , C , p ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16957922
 1906-10-24 14:43:19.35 ,   36.790 ,   67.021 ,  36.2 ,  13.0 ,  27.5 , D ,   35.0 ,  25.0 , C , 7.03 , 0.33 , C , p ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16957929
 1907-06-25 17:54:41.28 ,    1.343 ,  127.232 ,  23.0 ,  18.3 ,  88.6 , C ,  200.0 ,  31.1 , C ,      ,      , D ,   ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16957964
 1908-03-26 23:03:39.33 ,   18.399 ,  -99.318 ,  33.2 ,  14.1 , 149.4 , C ,   80.0 ,  15.6 , C ,      ,      , D ,   ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16957987
 1908-08-20 09:53:25.73 ,   31.228 ,   87.835 ,  76.7 ,  13.9 ,  73.7 , D ,   15.0 ,  25.0 , C , 6.88 , 0.37 , C , p ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16957997
 1908-10-23 20:14:03.02 ,   37.506 ,   72.917 ,  79.3 ,  41.5 ,  60.8 , D ,  220.0 ,  15.7 , C ,      ,      , D ,   ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16958002
 1908-10-24 21:16:40.32 ,   35.743 ,   70.097 ,  57.6 ,  38.1 ,  63.2 , D ,  220.0 ,  19.2 , C ,      ,      , D ,   ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16958003
 1909-01-23 02:48:29.83 ,   34.248 ,   50.410 ,  35.7 ,  12.5 ,  37.3 , D ,   15.0 ,  25.0 , C , 7.30 , 0.40 , C , d ,  1.00 , 20 , bibliog  ,       ,       ,       ,       ,       ,       ,   16958011
 1909-02-09 11:23:58.35 ,   39.665 ,   38.027 ,  42.3 ,  10.2 ,   5.4 , D ,   15.0 ,   4.1 , C , 6.30 , 0.20 , B , p ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16958012
 1909-02-22 09:21:48.96 ,  -18.405 , -178.966 ,  35.1 ,  17.8 , 166.5 , C ,  550.0 ,  53.0 , C ,      ,      , D ,   ,       ,    ,          ,       ,       ,       ,       ,       ,       ,   16958014
